index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,variance,AUC,
4218,2,1,0,-3,-2,3,4,5,4,6,4,-4,-1,1,8.959183673,0.993282418,[0.992124613577-0.994440221658]
4221,2,1,0,-4,-2,3,4,5,4,6,4,-4,-1,1,9.658163265,0.993282418,[0.992124613577-0.994440221658]
4224,2,1,0,-4,-3,3,4,5,4,6,4,-4,-1,1,10.20408163,0.993282418,[0.992124613577-0.994440221658]
4310,2,1,0,-2,-1,3,4,6,5,7,5,-5,-2,0,11.51530612,0.993282418,[0.992124613577-0.994440221658]
4340,2,1,0,-3,-1,3,4,6,5,7,5,-5,-2,0,12.10204082,0.993282418,[0.992124613577-0.994440221658]
4341,2,1,0,-4,-1,3,4,6,5,7,5,-5,-2,0,12.82142857,0.993282418,[0.992124613577-0.994440221658]
4342,2,1,0,-5,-1,3,4,6,5,7,5,-5,-2,0,13.67346939,0.993282418,[0.992124613577-0.994440221658]
4394,2,1,0,-3,-2,3,4,6,5,7,5,-5,-2,0,12.53571429,0.993282418,[0.992124613577-0.994440221658]
4395,2,1,0,-4,-2,3,4,6,5,7,5,-5,-2,0,13.24489796,0.993282418,[0.992124613577-0.994440221658]
4396,2,1,0,-5,-2,3,4,6,5,7,5,-5,-2,0,14.08673469,0.993282418,[0.992124613577-0.994440221658]
4405,2,1,0,-4,-3,3,4,6,5,7,5,-5,-2,0,13.80102041,0.993282418,[0.992124613577-0.994440221658]
4406,2,1,0,-5,-3,3,4,6,5,7,5,-5,-2,0,14.63265306,0.993282418,[0.992124613577-0.994440221658]
4412,2,1,0,-5,-4,3,4,6,5,7,5,-5,-2,0,15.31122449,0.993282418,[0.992124613577-0.994440221658]
2381,2,1,0,-1,0,3,5,6,5,7,5,-5,-3,0,11.73979592,0.993252718,[0.992093840669-0.994411595306]
4146,2,1,0,-2,0,3,5,6,5,7,5,-5,-3,0,12.20408163,0.993252718,[0.992093840669-0.994411595306]
4160,2,1,0,-3,0,3,5,6,5,7,5,-5,-3,0,12.80102041,0.993252718,[0.992093840669-0.994411595306]
4161,2,1,0,-4,0,3,5,6,5,7,5,-5,-3,0,13.53061224,0.993252718,[0.992093840669-0.994411595306]
4162,2,1,0,-5,0,3,5,6,5,7,5,-5,-3,0,14.39285714,0.993252718,[0.992093840669-0.994411595306]
4478,2,1,0,-2,-1,3,5,6,5,7,5,-5,-3,0,12.51530612,0.993252718,[0.992093840669-0.994411595306]
4492,2,1,0,-3,-1,3,5,6,5,7,5,-5,-3,0,13.10204082,0.993252718,[0.992093840669-0.994411595306]
4493,2,1,0,-4,-1,3,5,6,5,7,5,-5,-3,0,13.82142857,0.993252718,[0.992093840669-0.994411595306]
4494,2,1,0,-5,-1,3,5,6,5,7,5,-5,-3,0,14.67346939,0.993252718,[0.992093840669-0.994411595306]
4513,2,1,0,-3,-2,3,5,6,5,7,5,-5,-3,0,13.53571429,0.993252718,[0.992093840669-0.994411595306]
