Candidate	Score
Solution 309	0.9956260858 [0.994899004321-0.996353167242]
Solution 310	0.9958014391 [0.995075627123-0.996527251166]
Solution 311	0.9958014391 [0.995075627123-0.996527251166]
Solution 312	0.9956260858 [0.994899004321-0.996353167242]
Solution 313	0.9958014391 [0.995075627123-0.996527251166]
Solution 314	0.9958014391 [0.995075627123-0.996527251166]
Solution 315	0.9958014391 [0.995075627123-0.996527251166]
Solution 316	0.9956244681 [0.994897323248-0.996351612874]
Solution 317	0.9958037046 [0.995077847037-0.996529562089]
Solution 318	0.9958037046 [0.995077847037-0.996529562089]
Solution 319	0.9956244681 [0.994897323248-0.996351612874]
Solution 320	0.9958037046 [0.995077847037-0.996529562089]
Solution 321	0.9958037046 [0.995077847037-0.996529562089]
Solution 322	0.9958037046 [0.995077847037-0.996529562089]
Solution 323	0.9958011860 [0.995075369386-0.996527002539]
Solution 324	0.9958011860 [0.995075369386-0.996527002539]
Solution 325	0.9958011860 [0.995075369386-0.996527002539]
Solution 326	0.9958011860 [0.995075369386-0.996527002539]
Solution 327	0.9958011860 [0.995075369386-0.996527002539]
Solution 328	0.9958036354 [0.995077775487-0.996529495355]
Solution 329	0.9958036354 [0.995077775487-0.996529495355]
Solution 330	0.9958036354 [0.995077775487-0.996529495355]
Solution 331	0.9958036354 [0.995077775487-0.996529495355]
Solution 332	0.9958036354 [0.995077775487-0.996529495355]
Solution 333	0.9956267020 [0.994899632958-0.996353770961]
Solution 334	0.9956267020 [0.994899632958-0.996353770961]
Solution 335	0.9958059385 [0.995080157012-0.996531719909]
Solution 336	0.9958059385 [0.995080157012-0.996531719909]
Solution 337	0.9958059385 [0.995080157012-0.996531719909]
Solution 338	0.9958059385 [0.995080157012-0.996531719909]
Solution 339	0.9958059385 [0.995080157012-0.996531719909]
Solution 340	0.9958058693 [0.995080085547-0.996531653091]
Solution 341	0.9958058693 [0.995080085547-0.996531653091]
Solution 342	0.9958058693 [0.995080085547-0.996531653091]
Solution 343	0.9958058693 [0.995080085547-0.996531653091]
Solution 344	0.9958058693 [0.995080085547-0.996531653091]
Solution 345	0.9958003491 [0.995074486101-0.996526212179]
