Candidate	Score
Solution 242	0.9955975932 [0.994866271544-0.996328914777]
Solution 243	0.9953409603 [0.994606974797-0.996074945764]
Solution 244	0.9952573696 [0.994520954382-0.995993784795]
Solution 245	0.9955857841 [0.994854279571-0.996317288644]
Solution 246	0.9953243093 [0.994590118725-0.996058499776]
Solution 247	0.9952384430 [0.994501724508-0.995975161436]
Solution 248	0.9955975932 [0.994866271544-0.996328914777]
Solution 249	0.9953409603 [0.994606974797-0.996074945764]
Solution 250	0.9952573696 [0.994520954382-0.995993784795]
Solution 251	0.9955857841 [0.994854279571-0.996317288644]
Solution 252	0.9953243093 [0.994590118725-0.996058499776]
Solution 253	0.9952384430 [0.994501724508-0.995975161436]
Solution 254	0.9957836768 [0.995057677965-0.996509675550]
Solution 255	0.9958038469 [0.995078118229-0.996529575599]
Solution 256	0.9957842573 [0.995058134381-0.996510380314]
Solution 257	0.9957842573 [0.995058134381-0.996510380314]
Solution 258	0.9957842573 [0.995058134381-0.996510380314]
Solution 259	0.9933991549 [0.992483687520-0.994314622309]
Solution 260	0.9944032254 [0.993496778089-0.995309672791]
Solution 261	0.9955777158 [0.994849862459-0.996305569223]
Solution 262	0.9957237357 [0.994996780418-0.996450690969]
Solution 263	0.9954453160 [0.994713252334-0.996177379573]
Solution 264	0.9955975932 [0.994866271544-0.996328914777]
Solution 265	0.9957237357 [0.994996780418-0.996450690969]
Solution 266	0.9957237357 [0.994996780418-0.996450690969]
Solution 267	0.9943349334 [0.993427802085-0.995242064798]
Solution 268	0.9955975932 [0.994866271544-0.996328914777]
Solution 269	0.9955975932 [0.994866271544-0.996328914777]
Solution 270	0.9957798607 [0.995053704226-0.996506017228]
Solution 271	0.9957798607 [0.995053704226-0.996506017228]
Solution 272	0.9957798607 [0.995053704226-0.996506017228]
Solution 273	0.9933987584 [0.992483286413-0.994314230316]
Solution 274	0.9943990637 [0.993492593302-0.995305534097]
Solution 275	0.9957178922 [0.994990865204-0.996444919145]
Solution 276	0.9955857841 [0.994854279571-0.996317288644]
Solution 277	0.9957178922 [0.994990865204-0.996444919145]
Solution 278	0.9957178922 [0.994990865204-0.996444919145]
Solution 279	0.9943293248 [0.993422141799-0.995236507805]
Solution 280	0.9955857841 [0.994854279571-0.996317288644]
Solution 281	0.9955857841 [0.994854279571-0.996317288644]
Solution 282	0.9955465938 [0.994818316113-0.996274871466]
Solution 283	0.9955465938 [0.994818316113-0.996274871466]
Solution 284	0.9955465938 [0.994818316113-0.996274871466]
Solution 285	0.9934017071 [0.992486397379-0.994317016759]
Solution 286	0.9941756495 [0.993267663025-0.995083635979]
Solution 287	0.9955470127 [0.994818752190-0.996275273228]
Solution 288	0.9955470127 [0.994818752190-0.996275273228]
Solution 289	0.9956267223 [0.994899797666-0.996353646924]
Solution 290	0.9957880602 [0.995062094601-0.996514025719]
Solution 291	0.9957836768 [0.995057677965-0.996509675550]
Solution 292	0.9956267223 [0.994899797666-0.996353646924]
Solution 293	0.9956287467 [0.994901753245-0.996355740221]
Solution 294	0.9957880602 [0.995062094601-0.996514025719]
Solution 295	0.9957836768 [0.995057677965-0.996509675550]
Solution 296	0.9958041001 [0.995078375862-0.996529824330]
Solution 297	0.9957845156 [0.995058397213-0.996510634014]
Solution 298	0.9958038469 [0.995078118229-0.996529575599]
Solution 299	0.9957842573 [0.995058134381-0.996510380314]
Solution 300	0.9957798607 [0.995053704226-0.996506017228]
Solution 301	0.9955470127 [0.994818752190-0.996275273228]
Solution 302	0.9955470127 [0.994818752190-0.996275273228]
Solution 303	0.9955470127 [0.994818752190-0.996275273228]
Solution 304	0.9955470127 [0.994818752190-0.996275273228]
Solution 305	0.9934017071 [0.992486397379-0.994317016759]
Solution 306	0.9934017071 [0.992486397379-0.994317016759]
Solution 307	0.9941760684 [0.993268095421-0.995084041422]
Solution 308	0.9941760684 [0.993268095421-0.995084041422]
Solution 309	0.9956267223 [0.994899797666-0.996353646924]
Solution 310	0.9957880602 [0.995062094601-0.996514025719]
Solution 311	0.9957880602 [0.995062094601-0.996514025719]
Solution 312	0.9956267223 [0.994899797666-0.996353646924]
Solution 313	0.9957880602 [0.995062094601-0.996514025719]
Solution 314	0.9957880602 [0.995062094601-0.996514025719]
Solution 315	0.9957880602 [0.995062094601-0.996514025719]
Solution 316	0.9956267223 [0.994899797666-0.996353646924]
Solution 317	0.9957880602 [0.995062094601-0.996514025719]
Solution 318	0.9957880602 [0.995062094601-0.996514025719]
Solution 319	0.9956267223 [0.994899797666-0.996353646924]
Solution 320	0.9957880602 [0.995062094601-0.996514025719]
Solution 321	0.9957880602 [0.995062094601-0.996514025719]
Solution 322	0.9957880602 [0.995062094601-0.996514025719]
Solution 323	0.9957836768 [0.995057677965-0.996509675550]
Solution 324	0.9957836768 [0.995057677965-0.996509675550]
Solution 325	0.9957836768 [0.995057677965-0.996509675550]
Solution 326	0.9957836768 [0.995057677965-0.996509675550]
Solution 327	0.9957836768 [0.995057677965-0.996509675550]
Solution 328	0.9957836768 [0.995057677965-0.996509675550]
Solution 329	0.9957836768 [0.995057677965-0.996509675550]
Solution 330	0.9957836768 [0.995057677965-0.996509675550]
